,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity
DATES,DROPNA(PX_OPEN),DROPNA(PX_HIGH),DROPNA(PX_LOW),DROPNA(PX_LAST)
11/23/2011,118.07,119.19,116.56,116.56
11/25/2011,116.38,117.7,116.2,116.34
11/28/2011,119.54,120.18,118.82,119.71
11/29/2011,120.05,121,119.61,120.05
11/30/2011,123.49,125.22,123.22,124.99
12/1/2011,124.85,125.64,124.43,124.97
12/2/2011,126.12,126.5,124.78,124.86
12/5/2011,126.84,127.18,125.44,126.22
12/6/2011,126.21,127.11,125.76,126.26
12/7/2011,125.84,127.26,124.97,126.73
12/8/2011,125.9,126.18,123.65,123.95
12/9/2011,124.51,126.37,124.4,126.05
12/12/2011,124.95,124.97,123.16,124.21
12/13/2011,124.86,125.57,122.45,123.05
12/14/2011,122.56,123.03,121.47,121.74
12/15/2011,123.03,123.2,121.99,122.185
12/16/2011,122.23,122.95,121.3,121.59
12/19/2011,122.06,122.32,120.03,120.29
12/20/2011,122.18,124.14,122.17,123.93
12/21/2011,123.93,124.36,122.75,124.17
12/22/2011,124.63,125.4,124.232375,125.27
12/23/2011,125.67,126.43,125.41,126.39
12/27/2011,126.17,126.82,126.06,126.49
12/28/2011,126.51,126.53,124.73,124.83
12/29/2011,125.24,126.25,124.856625,126.12
12/30/2011,126.02,126.33,125.5,125.5
1/3/2012,127.76,128.38,127.43,127.495
1/4/2012,127.2,127.81,126.71,127.7
1/5/2012,127.01,128.23,126.43,128.04
1/6/2012,128.1999375,128.22,127.29,127.71
1/9/2012,128,128.18,127.41,128.02
1/10/2012,129.39,129.65,128.95,129.13
1/11/2012,128.73,129.37,128.52,129.2
1/12/2012,129.57,129.7,128.54,129.51
1/13/2012,128.64,129.05,127.72,128.84
1/17/2012,130.08,130.32,128.8956875,129.34
1/18/2012,129.31,130.84,129.08,130.77
1/19/2012,131.22,131.57,130.8,131.46
1/20/2012,131.24,131.95,130.92,131.54
1/23/2012,131.51,132.25,130.98,131.61
1/24/2012,130.8,131.5,130.6,131.46
1/25/2012,131.26,132.87,130.75,132.56
1/26/2012,133.15,133.4,131.36,131.88
1/27/2012,131.24,132.05,131.15,131.82
1/30/2012,130.51,131.44,130.06,131.37
1/31/2012,132.02,132.18,130.68,131.32
2/1/2012,132.29,133.14,132.13,132.47
2/2/2012,132.73,133.02,132.21,132.68
2/3/2012,134,134.62,133.77,134.54
2/6/2012,133.98,134.513375,133.83,134.45
2/7/2012,134.17,135.02,133.64,134.79
2/8/2012,134.86,135.22,134.31,135.19
2/9/2012,135.41,135.59,134.56,135.36
2/10/2012,134.16,134.47,133.84,134.361
2/13/2012,135.32,135.52,134.74,135.36
2/14/2012,135,135.27,134.25,135.19
2/15/2012,135.63,135.83,134.29,134.56
2/16/2012,134.57,136.17,134.33,136.049
2/17/2012,136.52,136.6275,135.96,136.41
2/21/2012,136.73,137.05,136.05,136.47
2/22/2012,136.26,136.55,135.79,136.032
