,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity
DATES,DROPNA(PX_OPEN),DROPNA(PX_HIGH),DROPNA(PX_LOW),DROPNA(PX_LAST)
10/2/2012,144.92,145.15,143.83,144.5
10/3/2012,144.89,145.43,144.13,145.09
10/4/2012,145.64,146.34,145.44,146.125
10/5/2012,146.91,147.16,145.7,146.14
10/8/2012,145.6,146.1230625,145.31,145.642
10/9/2012,145.53,145.65,144.15,144.2
10/10/2012,144.18,144.32,143.09,143.28
10/11/2012,144.28,144.49,143.327,143.36
10/12/2012,143.46,143.95,142.58,142.89
10/15/2012,143.23,144.23,142.77,144.08
10/16/2012,144.76,145.64,144.66,145.54
10/17/2012,145.64,146.32,145.42,146.2
10/18/2012,145.82,146.52,145.33,145.82
10/19/2012,145.55,145.56,143.05,143.389625
10/22/2012,143.15,143.67,142.28,143.41
10/23/2012,141.86,142.06,140.83,141.42
10/24/2012,141.93,142.1,140.8,141.02
10/25/2012,142.02,142.28,140.57,141.43
10/26/2012,141.3,141.84,140.39,141.35
10/31/2012,141.85,142.03,140.68,141.35
11/1/2012,141.65,143.01,141.52,142.83
11/2/2012,143.68,143.72,141.41,141.56
11/5/2012,141.35,142.17,140.93,141.848625
11/6/2012,142.28,143.52,142.13,142.96
11/7/2012,141.66,141.68,139.06,139.72
11/8/2012,139.7,140.41,137.93,138.04
11/9/2012,137.62,139.44,137.55,138.16
11/12/2012,138.59,138.81,137.96,138.265
11/13/2012,137.54,139.25,137.36,137.79
11/14/2012,138.21,138.43,135.62,135.929875
11/15/2012,135.98,136.490125,135.18,135.7
11/16/2012,135.9,136.64,134.7,136.37
11/19/2012,137.9,139.15,136.4056875,139.13
11/20/2012,138.91,139.42,138.08,139.19
11/21/2012,139.31,139.57,139.03,139.45
11/23/2012,140.13,141.4,140.04,141.35
11/26/2012,140.65,141.3563125,140.19,141.05
11/27/2012,140.91,141.39,140.24,140.33
11/28/2012,139.76,141.54,139,141.46
11/29/2012,141.99,142.51,141.37,142.12
11/30/2012,142.14,142.42,141.66,142.155
12/3/2012,142.8,142.92,141.34,141.45
12/4/2012,141.44,141.87,140.87,141.25
12/5/2012,141.37,142.16,140.37,141.5
12/6/2012,141.37,142.04,141.16,141.98
12/7/2012,142.53,142.69,141.67,142.415
12/10/2012,142.21,142.81,142.15,142.473
12/11/2012,143.06,144.11,142.99,143.44
12/12/2012,144,144.55,143.31,143.51
12/13/2012,143.42,143.83,142.275,142.63
12/14/2012,142.32,142.58,141.88,142.105125
12/17/2012,142.47,143.85,142.43,143.77
12/18/2012,144,145.5,143.79,145.37
12/19/2012,145.53,145.58,144.24,144.29
12/20/2012,144.38,145.14,143.98,145.12
12/21/2012,142.17,144.088125,141.94,142.79
12/24/2012,142.48,142.56,142.19,142.35
12/26/2012,142.64,142.71,141.35,141.75
12/27/2012,141.79,142.08,139.92,141.561625
12/28/2012,140.64,141.42,139.87,140.03
12/31/2012,139.66,142.56,139.54,142.41
1/2/2013,145.11,146.15,144.73,146.06
1/3/2013,145.99,146.37,145.34,145.734125
1/4/2013,145.97,146.61,145.67,146.37
1/7/2013,145.85,146.4441875,145.43,145.9695
1/8/2013,145.71,145.91,144.98,145.549625
1/9/2013,145.87,146.32,145.64,145.92
1/10/2013,146.73,147.09,145.97,147.08
1/11/2013,147.04,147.15,146.61,147.07
1/14/2013,146.89,147.07,146.43,146.97
1/15/2013,146.29,147.21,146.2,147.07
1/16/2013,146.77,147.28,146.61,147.05
1/17/2013,147.7,148.42,147.144625,148
1/18/2013,147.97,148.49,147.43,148.33
1/22/2013,148.33,149.13,147.98,149.13
1/23/2013,149.13,149.5,148.86,149.37
1/24/2013,149.15,150.14,149.01,149.41
1/25/2013,149.88,150.25,149.372625,150.25
1/28/2013,150.29,150.33,149.51,150.07
1/29/2013,149.77,150.85,149.67,150.66
1/30/2013,150.64,150.94,149.93,150.07
1/31/2013,149.89,150.38,149.6,149.7
2/1/2013,150.65,151.42,150.39,151.24
2/4/2013,150.32,151.267875,149.43,149.535
2/5/2013,150.35,151.48,150.29,151.05
2/6/2013,150.52,151.26,150.41,151.16
2/7/2013,151.205,151.35,149.86,150.96
2/8/2013,151.22,151.89,151.22,151.8
2/11/2013,151.74,151.9,151.3938125,151.77
2/12/2013,151.78,152.3,151.61,152.02
2/13/2013,152.33,152.61,151.72,152.151
2/14/2013,151.69,152.47,151.52,152.29
2/15/2013,152.43,152.59,151.55,152.11
2/19/2013,152.37,153.28,152.162875,153.25
2/20/2013,153.14,153.19,151.26,151.34
2/21/2013,150.96,151.4218125,149.94,150.42
2/22/2013,151.15,151.89,150.4913125,151.89
2/25/2013,152.63,152.86,149,149
2/26/2013,149.72,150.2,148.73,150.02
2/27/2013,149.89,152.33,149.76,151.91
2/28/2013,151.9,152.87,151.41,151.61
3/1/2013,151.09,152.34,150.41,152.11
3/4/2013,151.76,152.92,151.52,152.92
3/5/2013,153.66,154.7,153.64,154.29
3/6/2013,154.84,154.92,154.16,154.5
3/7/2013,154.7,154.98,154.52,154.776
3/8/2013,155.46,155.65,154.66,155.44
3/11/2013,155.325,156.04,155.13,156.03
3/12/2013,155.92,156.1,155.21,155.68
3/13/2013,155.76,156.12,155.23,155.905
3/14/2013,156.31,156.8,155.9078125,156.73
3/15/2013,155.85,156.04,155.31,155.83
3/18/2013,154.34,155.64,154.2,154.97
3/19/2013,155.3,155.51,153.59,154.61
3/20/2013,155.52,155.95,155.26,155.69
3/21/2013,154.76,155.638875,154.1,154.359
3/22/2013,154.85,155.6,154.73,155.6
3/25/2013,156.01,156.27,154.35,154.95
3/26/2013,155.59,156.23,155.42,156.19
3/27/2013,155.26,156.245,155,156.19
3/28/2013,156.09,156.85,155.75,156.67
4/1/2013,156.59,156.91,155.67,156.05
4/2/2013,156.61,157.21,156.37,156.82
4/3/2013,156.91,157.03,154.82,155.23
4/4/2013,155.43,156.17,155.09,155.86
4/5/2013,153.95,155.35,153.77,155.158
4/8/2013,155.27,156.22,154.75,156.21
4/9/2013,156.5,157.32,155.98,156.75
4/10/2013,157.17,158.87,157.13,158.67
4/11/2013,158.7,159.71,158.54,159.19
4/12/2013,158.68,159.04,157.92,158.8
4/15/2013,158,158.13,155.1,155.118
4/16/2013,156.29,157.49,155.91,157.41
4/17/2013,156.29,156.32,154.28,155.11
4/18/2013,155.37,155.41,153.55,154.14
4/19/2013,154.5,155.55,154.12,155.48
4/22/2013,155.78,156.54,154.75,156.17
4/23/2013,156.95,157.93,156.17,157.78
4/24/2013,157.83,158.3,157.54,157.88
4/25/2013,158.34,159.27,158.1,158.52
4/26/2013,158.33,158.6,157.73,158.24
4/29/2013,158.67,159.65,158.42,159.3
4/30/2013,159.27,159.72,158.61,159.68
5/1/2013,159.33,159.41,158.1,158.28
5/2/2013,158.68,159.89,158.53,159.75
5/3/2013,161.14,161.88,159.782,161.368
5/6/2013,161.49,162.01,161.42,161.78
5/7/2013,162.13,162.65,161.67,162.599875
5/8/2013,162.42,163.39,162.33,163.34
5/9/2013,163.27,163.7,162.47,162.881
5/10/2013,162.99,163.5498125,162.51,163.41
5/13/2013,163.2,163.81,162.82,163.54
5/14/2013,163.67,165.35,163.67,165.23
5/15/2013,164.96,166.45,164.91,166.115
5/16/2013,165.78,166.36,165.09,165.34
5/17/2013,165.95,167.04,165.73,166.94
5/20/2013,166.78,167.58,166.61,166.93
5/21/2013,167.08,167.8,166.5,167.17
5/22/2013,167.34,169.07,165.17,165.93
5/23/2013,164.16,165.91,163.94,165.45
5/24/2013,164.47,165.3805,163.98,165.308
5/28/2013,167.04,167.78,165.81,166.3
5/29/2013,165.42,165.8,164.34,165.22
5/30/2013,165.35,166.59,165.22,165.83
5/31/2013,165.37,166.31,163.13,163.445
6/3/2013,163.83,164.46,162.659875,164.35
6/4/2013,164.44,165.1,162.73,163.56
6/5/2013,163.09,163.42,161.13,161.272
6/6/2013,161.2,162.74,160.25,162.73
6/7/2013,163.85,164.95,163.14,164.8
6/10/2013,165.31,165.4,164.37,164.8
6/11/2013,163.3,164.54,162.739,163.098
6/12/2013,164.22,164.39,161.6,161.75
6/13/2013,161.66,164.5,161.3,164.21
6/14/2013,164.03,164.67,162.91,163.175
6/17/2013,164.29,165.22,163.2191875,164.44
6/18/2013,164.53,165.99,164.52,165.735
6/19/2013,165.6,165.89,163.38,163.45
6/20/2013,161.86,163.4668125,158.98,159.4
6/21/2013,159.64,159.76,157.47,159.07
6/24/2013,157.41,158.43,155.73,157.06
6/25/2013,158.48,160.1,157.42,158.575
6/26/2013,159.87,160.5,159.25,160.14
6/27/2013,161.1,161.82,160.95,161.08
6/28/2013,160.63,161.4,159.86,160.42
7/1/2013,161.26,162.48,161.08,161.36
7/2/2013,161.12,162.3,160.5,161.21
7/3/2013,160.48,161.77,160.22,161.28
7/5/2013,162.47,163.08,161.3,163.02
7/8/2013,163.86,164.39,163.0838125,163.945
7/9/2013,164.98,165.33,164.27,165.13
7/10/2013,164.97,165.75,164.63,165.192
7/11/2013,167.11,167.61,165.177375,167.44
7/12/2013,167.39,167.9331875,167.13,167.51
7/15/2013,167.97,168.39,167.68,168.155
7/16/2013,168.26,168.36,167.07,167.525
7/17/2013,168.16,168.48,167.73,167.950125
7/18/2013,168.31,169.27,168.2,168.87
7/19/2013,168.52,169.23,168.31,169.17
7/22/2013,169.41,169.74,169.01,169.5
7/23/2013,169.8,169.83,169.05,169.14
7/24/2013,169.79,169.86,168.18,168.52
7/25/2013,168.22,169.08,167.94,168.93
7/26/2013,168.22,169.16,167.52,169.11
7/29/2013,168.68,169.06,168.11,168.59
7/30/2013,169.1,169.28,168.19,168.588
7/31/2013,168.94,169.85,168.49,168.71
8/1/2013,169.99,170.81,169.9,170.66
8/2/2013,170.28,170.9725,170.05,170.95
8/5/2013,170.57,170.96,170.35,170.7
8/6/2013,170.37,170.7401875,169.35,169.73
8/7/2013,169.19,169.43,168.55,169.18
8/8/2013,169.98,170.18,168.93,169.8
8/9/2013,169.58,170.1,168.72,169.31
8/12/2013,168.46,169.31,168.38,169.111
8/13/2013,169.41,169.9,168.41,169.61
8/14/2013,169.53,169.8,168.7,168.74
8/15/2013,167.41,167.43,166.09,166.38
8/16/2013,166.06,166.63,165.5,165.83
8/19/2013,165.64,166.21,164.76,164.77
8/20/2013,165.04,166.2,164.86,165.58
8/21/2013,165.12,166.03,164.19,164.56
8/22/2013,164.9,166.3,164.89,166.06
8/23/2013,166.55,166.83,165.77,166.62
8/26/2013,166.79,167.3,165.89,166
8/27/2013,164.36,166.002375,163.21,163.33
8/28/2013,163.26,164.49,163.05,163.91
8/29/2013,163.55,165.04,163.4,164.17
8/30/2013,164.51,164.53,163.17,163.65
9/3/2013,165.23,165.58,163.7,164.39
9/4/2013,164.43,166.03,164.135,165.75
9/5/2013,165.85,166.4,165.73,165.96
9/6/2013,166.51,166.98,164.48,166.04
9/9/2013,166.45,167.73,166.45,167.634
9/10/2013,168.64,168.9,168.26,168.87
9/11/2013,168.64,169.4,168.35,169.4
9/12/2013,169.34,169.56,168.72,168.95
9/13/2013,169.13,169.46,168.74,169.33
9/16/2013,171.16,171.24,170.04,170.31
9/17/2013,170.46,171.11,170.46,171.07
9/18/2013,171.01,173.52,170.58,173.051
9/19/2013,173.52,173.6,172.585,172.76
9/20/2013,172.33,172.33,170.58,170.72
9/23/2013,170.49,170.65,169.39,169.93
9/24/2013,169.9,170.53,169.21,169.53
9/25/2013,169.64,169.98,168.89,169.04
9/26/2013,169.32,170.17,169.05,169.69
9/27/2013,168.84,169.14,168.47,168.909
9/30/2013,167.48,168.54,167.15,168.01
10/1/2013,168.14,169.5,167.967125,169.34
10/2/2013,168.35,169.3421875,167.83,169.18
10/3/2013,168.79,168.94,166.84,167.62
10/4/2013,167.75,169.06,167.53,168.89
10/7/2013,167.42,168.45,167.25,167.43
10/8/2013,167.4,167.62,165.36,165.48
10/9/2013,165.8,166.2,164.53,165.6
10/10/2013,167.29,169.26,167.23,169.17
10/11/2013,168.91,170.32,168.77,170.26
10/14/2013,169.21,171.08,169.08,170.94
10/15/2013,170.51,171.15,169.47,169.7
10/16/2013,170.72,172.16,170.635,172.07
10/17/2013,171.37,173.32,171.34,173.22
10/18/2013,173.86,174.51,173.51,174.388
10/21/2013,174.45,174.75,174.01,174.4
10/22/2013,174.91,175.93,174.4261875,175.41
10/23/2013,174.81,174.89,173.96,174.57
10/24/2013,174.92,175.37,174.51,175.15
10/25/2013,175.51,176,175.17,175.95
10/28/2013,175.89,176.47,175.7,176.23
10/29/2013,176.63,177.24,176.38,177.17
10/30/2013,177.38,177.51,175.66,176.29
10/31/2013,176.15,176.89,175.53,175.79
11/1/2013,176.02,176.61,175.22,176.21
11/4/2013,176.69,176.9,175.9825,176.83
11/5/2013,176.14,176.75,175.57,176.27
11/6/2013,177.03,177.5,176.54,177.17
11/7/2013,177.5,177.64,174.76,174.93
11/8/2013,174.87,177.31,174.85,177.29
11/11/2013,177.12,177.53,176.91,177.32
11/12/2013,176.94,177.36,176.37,176.96
11/13/2013,176.09,178.426125,176.09,178.38
11/14/2013,178.54,179.42,178.25,179.27
11/15/2013,179.56,180.12,179.33,180.05
11/18/2013,180.35,180.5,179.02,179.42
11/19/2013,179.33,179.87,178.72,179.03
11/20/2013,179.39,179.93,177.98,178.47
11/21/2013,178.97,180.05,178.86,179.91
11/22/2013,179.98,180.83,179.77,180.81
11/25/2013,181.13,181.17,180.37,180.63
11/26/2013,180.72,181.22,180.405,180.68
11/27/2013,180.87,181.24,180.65,181.12
11/29/2013,181.32,181.75,180.8,181
12/2/2013,181.09,181.43,180.25,180.53
12/3/2013,179.94,180.39,179.17,179.75
12/4/2013,179.1,180.48,178.35,179.73
12/5/2013,179.41,179.74,178.770125,178.94
12/6/2013,180.67,181.11,180.15,180.94
12/9/2013,181.47,181.67,181.16,181.4
12/10/2013,180.98,181.36,180.635,180.75
12/11/2013,180.81,180.85,178.5,178.72
12/12/2013,178.64,178.86,177.76,178.13
12/13/2013,178.5,178.66,177.77,178.11
12/16/2013,178.95,179.81,178.9,179.216
12/17/2013,179.36,179.41,178.25,178.65
12/18/2013,178.92,181.73,177.32,181.7
12/19/2013,181.19,181.7,180.71,181.49
12/20/2013,180.67,181.99,180.5683125,181.56
12/23/2013,182.41,182.64,182.065,182.53
12/24/2013,182.54,183.01,182.53,182.93
12/26/2013,183.34,183.96,183.32,183.855
12/27/2013,184.1,184.18,183.66,183.845
12/30/2013,183.87,184.02,183.58,183.82
12/31/2013,184.07,184.69,183.93,184.69
1/2/2014,183.98,184.07,182.48,182.92
1/3/2014,183.21,183.6,182.63,182.885
1/6/2014,183.47,183.56,182.08,182.36
1/7/2014,183.09,183.79,182.95,183.48
1/8/2014,183.45,183.83,182.89,183.52
1/9/2014,184.1,184.13,182.795,183.64
1/10/2014,183.95,184.22,183.01,184.14
1/13/2014,183.71,184.18,181.34,181.685
1/14/2014,182.28,183.77,181.95,183.67
1/15/2014,184.1,184.94,183.7101875,184.66
1/16/2014,184.28,184.6618125,183.83,184.42
1/17/2014,184.1,184.45,183.32,183.635
1/21/2014,184.7,184.77,183.05,184.18
1/22/2014,184.49,184.57,183.91,184.3
1/23/2014,183.36,183.4,181.82,182.79
1/24/2014,181.6,181.66,178.83,178.89
1/27/2014,179.06,179.52,177.12,178.01
1/28/2014,178.14,179.3,178.12,179.07
1/29/2014,177.56,178.55,176.88,177.35
1/30/2014,178.86,179.81,178.26,179.23
1/31/2014,177.02,179.29,176.92,178.18
2/3/2014,177.95,178.37,173.83,174.17
2/4/2014,174.95,175.84,174.1055,175.385
2/5/2014,174.79,175.56,173.71,175.17
2/6/2014,175.58,177.48,175.220875,177.48
2/7/2014,178.31,179.87,177.73,179.68
2/10/2014,179.7,180.07,179.21,180.01
2/11/2014,180.16,182.439,180.038875,181.98
2/12/2014,182.22,182.83,181.705,182.07
2/13/2014,180.84,183.2,180.83,183.01
2/14/2014,182.84,184.36,182.67,184.02
2/18/2014,184.19,184.49,183.65,184.24
2/19/2014,183.76,184.95,182.87,183.02
2/20/2014,183.27,184.52,182.6,184.1
2/21/2014,184.49,184.89,183.8,183.89
2/24/2014,184.28,186.15,184.2,184.91
2/25/2014,185.03,185.59,184.23,184.84
2/26/2014,185.11,185.6,184.33,184.85
2/27/2014,184.59,185.87,184.37,185.82
2/28/2014,185.79,187.15,185.05,186.29
3/3/2014,184.69,185.45,183.75,184.98
3/4/2014,186.75,187.98,186.75,187.58
3/5/2014,187.72,188.07,187.45,187.75
3/6/2014,188.21,188.61,187.779625,188.18
3/7/2014,188.87,188.96,187.43,188.26
3/10/2014,187.94,188.23,187.08,188.16
3/11/2014,188.44,188.71,186.8,187.23
3/12/2014,186.32,187.35,185.9,187.28
3/13/2014,187.84,187.99,184.66,185.18
3/14/2014,184.8,185.8,184.44,184.66
3/17/2014,185.59,186.77,185.51,186.33
3/18/2014,186.71,187.91,186.51,187.66
3/19/2014,187.7,187.94,185.47,186.66
3/20/2014,186.25,187.89,185.92,187.747
3/21/2014,187.72,189.023875,186.03,186.2
3/24/2014,186.82,187.07,184.62,185.43
3/25/2014,186.37,186.94,185.27,186.31
3/26/2014,187.03,187.34,184.92,184.97
3/27/2014,184.77,185.34,183.9,184.58
3/28/2014,185.105,186.42,185,185.49
3/31/2014,186.65,187.3,185.521625,187.01
4/1/2014,187.62,188.36,187.0015,188.25
4/2/2014,188.5,189.13,188.14,188.88
4/3/2014,189.17,189.22,188.05,188.63
4/4/2014,189.64,189.7,186.1,186.4
4/7/2014,185.9,186.26,183.96,184.34
4/8/2014,184.21,185.4,183.59,185.1
4/9/2014,185.6,187.15,185.06,187.09
4/10/2014,187.09,187.17,182.93,183.155
4/11/2014,182.17,183.42,181.31,181.51
4/14/2014,182.93,183.37,181.44,182.940125
4/15/2014,183.32,184.33,181.51,184.2
4/16/2014,185.47,186.14,184.65,186.125
4/17/2014,185.88,186.91,185.56,186.39
4/21/2014,186.44,187.1,186.21,187.04
4/22/2014,187.23,188.4,187.13,187.89
4/23/2014,187.81,187.92,187.3,187.45
4/24/2014,188.37,188.39,186.93,187.83
4/25/2014,187.21,187.33,185.87,186.29
4/28/2014,187.05,187.69,184.96,186.875
4/29/2014,187.48,188.04,187.08,187.75
4/30/2014,187.44,188.5,187.18,188.31
5/1/2014,188.22,188.84,187.73,188.325
5/2/2014,188.31,189.14,187.78,188.06
5/5/2014,187.14,188.55,186.62,188.42
5/6/2014,188,188.13,186.74,186.78
5/7/2014,187.43,187.97,186.01,187.88
5/8/2014,187.67,189.05,187.08,187.675
5/9/2014,187.69,188.04,186.83,187.96
5/12/2014,188.76,189.88,188.75,189.785
5/13/2014,190.03,190.42,189.77,189.96
5/14/2014,189.79,189.88,188.79,189.06
5/15/2014,188.67,188.72,186.48,187.4
5/16/2014,187.51,188.13,186.72,188.05
5/19/2014,187.69,188.89,187.52,188.74
5/20/2014,188.645,188.67,187.07,187.55
5/21/2014,188.1,189.22,188.06,189.13
5/22/2014,189.18,189.98,188.86,189.59
5/23/2014,189.75,190.48,189.5858125,190.35
5/27/2014,191.05,191.58,190.95,191.52
5/28/2014,191.52,191.82,191.06,191.38
5/29/2014,191.82,192.4,191.33,192.37
5/30/2014,192.19,192.8,192.03,192.68
6/2/2014,192.95,192.99,191.97,192.895
6/3/2014,192.4,192.9,192.25,192.8
6/4/2014,192.47,193.3,192.265,193.19
6/5/2014,193.41,194.65,192.7,194.45
6/6/2014,194.87,195.43,194.78,195.375
6/9/2014,195.35,196.05,195.17,195.58
6/10/2014,195.33,195.64,194.92,195.6
6/11/2014,194.9,195.12,194.48,194.92
6/12/2014,194.65,194.8,193.11,193.54
6/13/2014,193.9,194.32,193.3,194.13
6/16/2014,193.89,194.7,193.66,194.29
6/17/2014,194.02,194.97,193.81,194.83
6/18/2014,194.83,196.37,194.4,196.255
6/19/2014,196.43,196.6,195.8,196.48
6/20/2014,196.03,196.103875,195.7,195.94
6/23/2014,195.97,196.05,195.52,195.88
6/24/2014,195.53,196.5,194.48,194.7
6/25/2014,194.25,195.781,194.25,195.58
6/26/2014,195.61,195.63,194.13,195.44
6/27/2014,194.98,195.88,194.885,195.82
6/30/2014,195.7,196.165,195.53,195.72
7/1/2014,196.19,197.63,196.13,197.03
7/2/2014,197.05,197.48,196.96,197.23
7/3/2014,197.79,198.29,197.64,198.2
7/7/2014,197.82,197.98,197.22,197.51
7/8/2014,197.15,197.22,195.76,196.24
7/9/2014,196.73,197.295,196.31,197.12
7/10/2014,195.22,196.86,195.06,196.34
7/11/2014,196.22,196.75,195.78,196.61
7/14/2014,197.61,197.86,197.44,197.6
7/15/2014,197.72,198.1,196.36,197.23
7/16/2014,198.11,198.26,197.42,197.96
7/17/2014,197.35,198.1,195.43,195.71
7/18/2014,196.35,197.91,196.24,197.709875
7/21/2014,197.09,197.5,196.43,197.34
7/22/2014,198.01,198.56,197.87,198.2
7/23/2014,198.495,198.85,198.1,198.64
7/24/2014,198.83,199.06,198.45,198.65
7/25/2014,198.09,198.26,197.33,197.72
7/28/2014,197.76,198.09,196.62,197.8
7/29/2014,198.17,198.45,196.92,196.95
7/30/2014,197.65,197.91,196.16,196.98
7/31/2014,195.61,195.78,192.97,193.09
8/1/2014,192.56,193.76,191.57,192.5
8/4/2014,192.87,194.3,192.05,193.89
8/5/2014,193.1,193.6,191.31,192.01
8/6/2014,191.11,192.89,191.08,192.07
8/7/2014,192.935,193.13,190.55,191.03
8/8/2014,191.46,193.37,190.95,193.24
8/11/2014,193.965,194.66,193.71,193.795
8/12/2014,193.61,194.15,192.94,193.53
8/13/2014,194.29,195.06,193.96,194.84
8/14/2014,195.16,195.76,194.98,195.76
8/15/2014,196.47,196.65,194.31,195.72
8/18/2014,196.8,197.45,196.69,197.36
8/19/2014,197.84,198.54,197.442625,198.39
8/20/2014,198.12,199.16,198.08,198.92
8/21/2014,199.09,199.76,198.93,199.5
8/22/2014,199.34,199.69,198.74,199.19
8/25/2014,200.14,200.594875,199.1501875,200.2
8/26/2014,200.33,200.82,200.28,200.33
8/27/2014,200.43,200.57,199.94,200.25
8/28/2014,199.59,200.27,199.39,200.14
8/29/2014,200.45,200.73,199.82,200.71
9/2/2014,200.97,200.995,199.86,200.61
9/3/2014,201.38,201.41,200.22,200.5
9/4/2014,200.84,201.58,199.66,200.210125
9/5/2014,200.17,201.19,199.41,201.11
9/8/2014,200.92,201.21,200,200.59
9/9/2014,200.41,200.55,198.91,199.32
9/10/2014,199.43,200.2,198.77,200.07
9/11/2014,199.27,200.33,199.12,200.3
9/12/2014,200.1,200.12,198.56,199.13
9/15/2014,199.16,199.32,198.38,198.981
9/16/2014,198.61,200.84,198.5,200.48
9/17/2014,200.77,201.68,199.75,200.75
9/18/2014,201.36,201.85,201.1,201.82
9/19/2014,201.52,201.899,200.29,200.7
9/22/2014,200.35,200.38,198.73,199.15
9/23/2014,198.43,199.26,197.95,198.01
9/24/2014,198.04,199.69,197.52,199.56
9/25/2014,199.04,199.05,196.27,196.34
9/26/2014,196.7,198.39,196.42,197.9
9/29/2014,196.2,197.89,196.05,197.54
9/30/2014,197.69,198.3,196.61,197.02
10/1/2014,196.7,196.77,193.91,194.35
10/2/2014,194.18,195.055,192.35,194.38
10/3/2014,195.68,196.94,195.08,196.52
10/6/2014,197.34,197.6,195.582,196.29
10/7/2014,195.28,195.72,193.22,193.26
10/8/2014,193.37,196.92,192.36,196.64
10/9/2014,196.33,196.6,192.58,192.74
10/10/2014,192.69,193.65,190.49,190.54
10/13/2014,190.46,191.15,187.3,187.409875
10/14/2014,188.42,189.82,187.04,187.7
10/15/2014,185.16,187.694,181.92,186.43
10/16/2014,183.06,187.58,182.89,186.27
10/17/2014,188.42,189.75,187.62,188.47
10/20/2014,188.13,190.45,188.07,190.3
10/21/2014,191.68,194.2,191.48,194.07
10/22/2014,194.41,194.91,192.61,192.69
10/23/2014,194.62,196.2,194.26,194.93
10/24/2014,195.25,196.49,194.49,196.43
10/27/2014,195.73,196.45,195.03,196.16
10/28/2014,196.82,198.42,196.73,198.41
10/29/2014,198.55,199.12,196.8,198.11
10/30/2014,197.58,199.95,197.4,199.38
10/31/2014,201.78,201.82,200.77,201.66
11/3/2014,201.92,202.45,201.305,201.77
11/4/2014,201.23,201.6,200.06,201.07
11/5/2014,202.54,202.59,201.45,202.34
11/6/2014,202.39,203.26,201.64,203.15
11/7/2014,203.17,203.599875,202.61,203.34
11/10/2014,203.38,204.04,203.13,203.98
11/11/2014,204.055,204.31,203.65,204.175
11/12/2014,203.35,204.24,203.31,203.96
11/13/2014,204.16,204.83,203.21,204.19
11/14/2014,204.1,204.49,203.72,204.24
11/17/2014,203.85,204.58,203.65,204.37
11/18/2014,204.44,205.92,204.44,205.55
11/19/2014,205.31,205.55,204.3,205.22
11/20/2014,204.26,205.71,204.18,205.58
11/21/2014,207.64,207.8445,205.98,206.68
11/24/2014,207.17,207.39,206.91,207.26
11/25/2014,207.54,207.79,206.8,207.11
11/26/2014,207.29,207.76,207.03,207.64
11/28/2014,207.49,207.87,206.91,207.2
12/1/2014,206.4,206.54,205.38,205.76
12/2/2014,205.81,207.34,205.782,207.085
12/3/2014,207.3,208.15,207.1,207.89
12/4/2014,207.54,208.265,206.7,207.66
12/5/2014,207.87,208.47,207.55,208
12/8/2014,207.52,208.12,205.93,206.61
12/9/2014,204.37,206.6,203.91,206.47
12/10/2014,205.91,205.98,202.93,203.160125
12/11/2014,203.88,206.19,203.71,204.19
12/12/2014,202.64,203.819,200.85,200.89
12/15/2014,201.98,202.53,198.78,199.51
12/16/2014,198.58,202.395,197.86,197.91
12/17/2014,198.44,202.34,198.29,201.79
12/18/2014,204.74,212.97,203.92,206.78
12/19/2014,206.43,207.33,205.610875,206.52
12/22/2014,206.75,207.47,206.46,207.47
12/23/2014,208.17,208.23,207.3990625,207.75
12/24/2014,208.02,208.34,207.72,207.77
12/26/2014,208.31,208.85,208.25,208.44
12/29/2014,208.22,208.97,208.14,208.72
12/30/2014,208.21,208.37,207.51,207.6
12/31/2014,207.99,208.19,205.39,205.54
1/2/2015,206.38,206.88,204.18,205.43
1/5/2015,204.17,204.37,201.35,201.72
1/6/2015,202.09,202.72,198.855,199.82
1/7/2015,201.42,202.72,200.88,202.31
1/8/2015,204.01,206.16,203.99,205.9
1/9/2015,206.4,206.42,203.51,204.25
1/12/2015,204.41,204.6,201.92,202.65
1/13/2015,204.12,205.48,200.51,202.08
1/14/2015,199.65,201.1,198.57,200.86
1/15/2015,201.63,202.01,198.88,199.019875
1/16/2015,198.77,201.82,198.55,201.63
1/20/2015,202.4,202.72,200.17,202.055
1/21/2015,201.5,203.66,200.94,203.08
1/22/2015,203.99,206.26,202.33,206.1
1/23/2015,205.79,206.1,204.81,204.97
1/26/2015,204.71,205.56,203.85,205.45
1/27/2015,202.97,204.12,201.74,202.74
1/28/2015,204.17,204.29,199.91,200.14
1/29/2015,200.38,202.3,198.68,201.9901875
1/30/2015,200.57,202.17,199.13,199.45
2/2/2015,200.05,202.03,197.86,201.92
2/3/2015,203,204.85,202.55,204.84
2/4/2015,203.92,205.38,203.51,204.06
2/5/2015,204.86,206.3,204.77,206.12
2/6/2015,206.56,207.24,204.92,205.55
2/9/2015,204.77,205.64,204.135,204.63
2/10/2015,205.88,207.12,204.680125,206.81
2/11/2015,206.61,207.45,205.83,206.93
2/12/2015,207.89,208.99,206.9726875,208.92
2/13/2015,209.07,209.84,208.76,209.78
2/17/2015,209.4,210.32,209.1,210.11
2/18/2015,209.66,210.22,209.340125,210.13
2/19/2015,209.41,210.42,209.24,209.98
2/20/2015,209.48,211.33,208.73,211.239
2/23/2015,210.94,211.21,210.48,211.209
2/24/2015,211.12,212.05,210.76,211.81
